MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1140070008841,12.62,0.05,253.46825,39.76063,54385.11931,0
1140070008841,12.61,0.05,253.46808,39.76102,54392.10292,0
1140070008841,12.62,0.05,253.46801,39.76086,54392.10743,0
1140070008841,12.62,0.05,253.46787,39.76095,54392.11192,0
1140070008841,12.62,0.05,253.46789,39.76105,54392.11641,0
1140070008841,12.63,0.05,253.46775,39.76024,54363.13104,0
1140070008841,12.63,0.05,253.46776,39.76027,54363.1381,0
1140070008841,12.62,0.05,253.46776,39.76022,54363.14515,0
1140070008841,12.65,0.05,253.46774,39.76021,54363.15221,0
1140070008841,12.65,0.05,253.46775,39.76063,54568.46114,0
1140070008841,12.65,0.05,253.46785,39.76033,54568.46674,0
1140070008841,12.61,0.05,253.46788,39.76084,54568.47223,0
1140070008841,12.68,0.05,253.46809,39.76075,54568.47773,0
1140070008841,12.71,0.05,253.46775,39.76071,54569.46818,0
1140070008841,12.67,0.05,253.46789,39.76067,54569.47265,0
1140070008841,12.65,0.05,253.46767,39.76067,54569.4771,0
1140070008841,12.66,0.05,253.46773,39.76068,54569.48155,0
1140070008841,12.64,0.05,253.46787,39.76121,54585.43589,0
1140070008841,12.65,0.05,253.46779,39.76079,54585.44241,0
1140070008841,12.66,0.05,253.46775,39.7606,54585.44874,0
1140070008841,12.51,0.05,253.46785,39.76029,54627.36541,0
1140070008841,12.53,0.05,253.46788,39.76025,54627.37424,0
1140070008841,12.54,0.05,253.46788,39.76028,54627.38287,0
1140070008841,12.67,0.05,253.46779,39.76027,54627.3916,0
1140070008841,12.68,0.05,253.46781,39.76026,54641.38457,0
1140070008841,12.56,0.05,253.46791,39.76025,54641.39007,0
1140070008841,12.52,0.05,253.46787,39.76027,54641.39556,0
1140070008841,12.53,0.05,253.46791,39.76029,54641.40106,0
1140070008841,12.67,0.05,253.46783,39.76071,54531.48505,0
1140070008841,12.69,0.05,253.46794,39.76055,54531.49276,0
1140070008841,12.64,0.05,253.46784,39.7606,54531.50054,0
1140070008841,12.63,0.05,253.46798,39.76089,54531.50845,0
1140070008841,12.67,0.05,253.46801,39.76058,54596.30786,0
1140070008841,12.64,0.05,253.46802,39.76099,54596.31555,0
1140070008841,12.65,0.05,253.4679,39.76084,54596.32331,0
1140070008841,12.66,0.05,253.46792,39.76074,54596.33105,0
1140070008841,12.72,0.05,253.4676,39.76019,54748.08867,0
1140070008841,12.69,0.05,253.46762,39.7602,54748.09601,0
1140070008841,12.68,0.05,253.46759,39.76022,54748.10326,0
1140070008841,12.64,0.05,253.46766,39.76022,54748.11065,0
1140070008841,12.63,0.05,253.46761,39.76026,54923.43689,0
1140070008841,12.49,0.05,253.46773,39.7603,54923.44231,0
1140070008841,12.62,0.05,253.46761,39.76024,54923.44778,0
1140070008841,12.66,0.05,253.46759,39.76025,54923.45324,0
1140070008841,12.53,0.05,253.46773,39.76023,54943.4393,0
1140070008841,12.61,0.05,253.4676,39.76021,54943.44466,0
1140070008841,12.47,0.05,253.46772,39.76027,54943.45008,0
1140070008841,12.61,0.05,253.46759,39.76025,54943.45555,0
1140070008841,12.68,0.05,253.46761,39.76025,54890.51843,0
1140070008841,12.66,0.05,253.46764,39.76025,54890.52176,0
1140070008841,12.68,0.05,253.4676,39.76024,54890.52506,0
1140070008841,12.78,0.05,253.46752,39.76023,54890.52838,0
1140070008841,12.66,0.05,253.4676,39.76025,55003.37393,0
1140070008841,12.68,0.05,253.46761,39.76023,55003.37871,0
1140070008841,12.66,0.05,253.4676,39.76023,55003.38349,0
1140070008841,12.66,0.05,253.46761,39.76024,55003.3883,0
1140070008841,12.67,0.05,253.46762,39.76024,54915.44694,0
1140070008841,12.71,0.05,253.4676,39.76024,54915.4543,0
1140070008841,12.65,0.05,253.46763,39.76026,54915.46182,0
1140070008841,12.66,0.05,253.46762,39.76022,54915.46934,0
1140070008841,12.66,0.05,253.46761,39.76023,54954.43131,0
1140070008841,12.63,0.05,253.46761,39.76021,54954.45324,0
1140070008841,12.68,0.05,253.46759,39.76024,54955.4194,0
1140070008841,12.66,0.05,253.46762,39.76022,54955.42659,0
1140070008841,12.66,0.05,253.46761,39.76024,54955.43385,0
1140070008841,12.64,0.05,253.46763,39.76021,54955.44112,0
1140070008841,12.68,0.05,253.46762,39.76022,54967.34918,0
1140070008841,12.71,0.05,253.4676,39.76024,54967.35902,0
1140070008841,12.72,0.05,253.4676,39.76022,54967.36839,0
1140070008841,12.67,0.05,253.46761,39.76023,54967.3771,0
1140070008841,12.62,0.05,253.46761,39.76022,54979.35766,0
1140070008841,12.62,0.05,253.46762,39.76024,54979.36485,0
1140070008841,12.67,0.05,253.46759,39.76023,54979.37218,0
1140070008841,12.63,0.05,253.46762,39.76024,54979.37942,0
1140070008841,12.63,0.05,253.46759,39.76025,55085.16085,0
1140070008841,12.68,0.05,253.46759,39.76027,55085.16479,0
1140070008841,12.71,0.05,253.4676,39.76025,55085.16873,0
1140070008841,12.7,0.05,253.4676,39.76024,55085.1727,0
