# RA = 12 56 11.10 (194.04625)
# Dec = -05 47 21.00 (-5.789167)
# Redshift = 0.0
# nH = 2.24E20 cm^-2 
# NuBlazar (id = 144)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.1680E26 0.0 9.9220E-12   0.0000E00    54852.0    54863.0 ; UPPER LIMIT
8.3950E25 0.0 1.6270E-11   0.0000E00    54852.0    54863.0 ; UPPER LIMIT
5.5960E25 0.0 1.6780E-11   0.0000E00    54852.0    54863.0 ; UPPER LIMIT
3.9690E25 0.0 8.6340E-11   0.0000E00    54852.0    54863.0 ; UPPER LIMIT
# ARGO2LAC (id = 140)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4180E26 0.0 7.1200E-12   0.0000E00    54405.0    56323.0 ; UPPER LIMIT
# EGRET3 (id = 138)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4200E22     0.0000E00    8.0897E-11   1.8763E-11    48368.5    49993.5
2.4200E22     0.0000E00    6.3364E-11   2.1070E-11    48368.5    49993.5
2.4200E22     0.0000E00    4.8292E-11   2.4146E-11    48368.5    49993.5
2.4200E22     0.0000E00    1.6149E-10   5.2752E-11    48368.5    49993.5
2.4200E22     0.0000E00    1.8917E-11   1.0612E-11    48368.5    49993.5
2.4200E22     0.0000E00    1.4303E-11   6.3056E-12    48368.5    49993.5
2.4200E22     0.0000E00    1.2211E-10   1.1535E-11    48368.5    49993.5
2.4200E22     0.0000E00    4.1110E-10   1.6456E-11    48368.5    49993.5
2.4200E22     0.0000E00    3.3374E-11   1.8148E-11    48368.5    49993.5
2.4200E22     0.0000E00    2.7637E-10   1.0304E-11    48368.5    49993.5
2.4200E22     0.0000E00    1.1688E-11   5.5367E-12    48368.5    49993.5
2.4200E22     0.0000E00    2.5838E-11   1.1688E-11    48368.5    49993.5
2.4200E22     0.0000E00    1.1412E-10   4.3063E-12    48368.5    49993.5
2.4200E22     0.0000E00    4.5985E-11   6.3056E-12    48368.5    49993.5
2.4200E22     0.0000E00    3.0605E-11   1.3073E-11    48368.5    49993.5
2.4200E22     0.0000E00    6.6901E-11   7.8436E-12    48368.5    49993.5
2.4200E22     0.0000E00    1.7933E-10   7.0746E-12    48368.5    49993.5
2.4200E22     0.0000E00    5.5674E-11   4.9215E-12    48368.5    49993.5
2.4200E22     0.0000E00    8.7664E-11   2.2762E-11    48368.5    49993.5
2.4200E22     0.0000E00    7.0592E-11   9.3815E-12    48368.5    49993.5
2.4200E22     0.0000E00    7.2592E-11   1.0458E-11    48368.5    49993.5
2.4200E22     0.0000E00    6.1365E-11   1.4303E-11    48368.5    49993.5
2.4200E22     0.0000E00    7.9205E-11   2.6453E-11    48368.5    49993.5
2.4200E22     0.0000E00    7.0900E-11   2.2147E-11    48368.5    49993.5
# EGRET3 (id = 139)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4200E22 0.0 2.9683E-11   0.0000E00    48368.5    49993.5 ; UPPER LIMIT
