# RA = 02 32 48.60 (38.2025)
# Dec = +20 17 17.00 (20.288055)
# Redshift = 0.0
# nH = 7.82E20 cm^-2 
# NuBlazar (id = 67)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.5480E18     1.1360E17    1.1103E-11   1.9678E-12    56567.004201389    56567.396597222
4.7760E18     1.1360E17    1.2946E-11   2.2719E-12    56567.004201389    56567.396597222
5.0270E18     1.3780E17    1.1283E-11   2.1823E-12    56567.004201389    56567.396597222
5.2980E18     1.3300E17    9.9737E-12   2.3956E-12    56567.004201389    56567.396597222
5.5610E18     1.3060E17    1.1385E-11   2.8445E-12    56567.004201389    56567.396597222
5.8470E18     1.5480E17    6.9059E-12   2.5779E-12    56567.004201389    56567.396597222
6.1440E18     1.4270E17    1.3989E-11   3.7330E-12    56567.004201389    56567.396597222
6.8480E18     1.5960E17    1.0457E-11   5.1665E-12    56567.004201389    56567.396597222
7.6170E18     2.0310E17    1.1811E-11   5.4114E-12    56567.004201389    56567.396597222
8.0230E18     2.0310E17    1.5210E-11   6.3637E-12    56567.004201389    56567.396597222
8.2700E17     1.0160E17    1.3971E-11   4.2113E-13    56570.979895833    56571.427905093
1.0300E18     1.0160E17    1.3333E-11   3.9657E-13    56570.979895833    56571.427905093
1.2330E18     1.0160E17    1.3865E-11   4.2573E-13    56570.979895833    56571.427905093
1.4360E18     1.0160E17    1.4222E-11   4.5902E-13    56570.979895833    56571.427905093
1.6390E18     1.0160E17    1.4194E-11   4.9611E-13    56570.979895833    56571.427905093
1.8430E18     1.0160E17    1.5095E-11   5.5808E-13    56570.979895833    56571.427905093
2.0460E18     1.0160E17    1.4980E-11   6.0296E-13    56570.979895833    56571.427905093
2.2490E18     1.0160E17    1.4670E-11   6.4874E-13    56570.979895833    56571.427905093
2.4520E18     1.0160E17    1.3849E-11   7.1000E-13    56570.979895833    56571.427905093
2.6550E18     1.0160E17    1.3354E-11   7.8328E-13    56570.979895833    56571.427905093
2.8580E18     1.0160E17    1.3916E-11   9.2223E-13    56570.979895833    56571.427905093
3.0610E18     1.0160E17    1.4004E-11   1.0172E-12    56570.979895833    56571.427905093
3.2640E18     1.0160E17    1.3529E-11   1.1066E-12    56570.979895833    56571.427905093
3.4670E18     1.0160E17    1.2944E-11   1.1884E-12    56570.979895833    56571.427905093
3.6730E18     1.0400E17    1.3953E-11   1.3210E-12    56570.979895833    56571.427905093
3.8780E18     1.0160E17    1.3895E-11   1.4490E-12    56570.979895833    56571.427905093
4.0840E18     1.0400E17    1.2973E-11   1.5023E-12    56570.979895833    56571.427905093
4.3060E18     1.1850E17    1.1972E-11   1.4677E-12    56570.979895833    56571.427905093
4.5260E18     1.0160E17    1.5986E-11   1.9734E-12    56570.979895833    56571.427905093
4.7370E18     1.0880E17    1.3133E-11   1.8706E-12    56570.979895833    56571.427905093
4.9710E18     1.2570E17    1.3215E-11   1.8865E-12    56570.979895833    56571.427905093
5.2080E18     1.1120E17    1.3133E-11   2.1924E-12    56570.979895833    56571.427905093
5.4480E18     1.2820E17    1.4748E-11   2.3682E-12    56570.979895833    56571.427905093
5.7140E18     1.3780E17    1.2489E-11   2.3269E-12    56570.979895833    56571.427905093
5.9990E18     1.4750E17    1.2547E-11   2.5779E-12    56570.979895833    56571.427905093
6.3300E18     1.8380E17    1.0192E-11   2.3375E-12    56570.979895833    56571.427905093
6.7270E18     2.1280E17    9.0780E-12   2.6338E-12    56570.979895833    56571.427905093
7.1790E18     2.3940E17    8.6281E-12   2.8408E-12    56570.979895833    56571.427905093
7.7210E18     3.0230E17    8.9239E-12   3.0044E-12    56570.979895833    56571.427905093
8.3470E18     3.2400E17    1.1091E-11   3.3429E-12    56570.979895833    56571.427905093
8.9880E18     3.1680E17    1.3541E-11   3.9817E-12    56570.979895833    56571.427905093
9.7810E18     4.7630E17    9.6066E-12   3.5497E-12    56570.979895833    56571.427905093
1.0740E19     4.8600E17    1.3983E-11   4.9158E-12    56570.979895833    56571.427905093
1.1770E19     5.3680E17    1.5085E-11   6.0480E-12    56570.979895833    56571.427905093
