# RA = 16 53 52.21 (253.46754)
# Dec = +39 45 37.58 (39.76044)
# Redshift = 0.0
# nH = 1.69E20 cm^-2 
# NuBlazar (id = 124)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.3970E19     7.8580E17    8.0120E-11   1.8720E-11    56485.896597222    56486.157002315
1.5830E19     1.0780E18    8.5112E-11   2.4651E-11    56485.896597222    56486.157002315
1.6090E19     1.0300E18    6.8405E-11   2.4633E-11    56485.896597222    56486.157002315
1.7960E19     8.3660E17    8.9772E-11   4.3081E-11    56485.896597222    56486.157002315
8.6080E17     1.3540E17    1.2829E-10   1.5092E-12    56486.844502315    56487.091099537
1.1320E18     1.3540E17    1.2779E-10   1.5032E-12    56486.844502315    56487.091099537
1.4020E18     1.3540E17    1.2555E-10   1.6163E-12    56486.844502315    56487.091099537
1.6730E18     1.3540E17    1.2725E-10   1.8049E-12    56486.844502315    56487.091099537
1.9440E18     1.3540E17    1.2327E-10   1.9890E-12    56486.844502315    56487.091099537
2.2150E18     1.3540E17    1.2156E-10   2.2042E-12    56486.844502315    56487.091099537
2.4860E18     1.3540E17    1.2226E-10   2.5655E-12    56486.844502315    56487.091099537
2.7570E18     1.3540E17    1.1903E-10   2.9743E-12    56486.844502315    56487.091099537
3.0270E18     1.3540E17    1.1419E-10   3.4044E-12    56486.844502315    56487.091099537
3.2980E18     1.3540E17    1.1391E-10   3.8578E-12    56486.844502315    56487.091099537
3.5690E18     1.3540E17    1.1052E-10   4.2759E-12    56486.844502315    56487.091099537
3.8400E18     1.3540E17    1.0951E-10   4.7407E-12    56486.844502315    56487.091099537
4.1110E18     1.3540E17    1.0905E-10   5.2309E-12    56486.844502315    56487.091099537
4.3810E18     1.3540E17    1.0670E-10   5.6955E-12    56486.844502315    56487.091099537
4.6520E18     1.3540E17    1.0150E-10   6.1098E-12    56486.844502315    56487.091099537
4.9230E18     1.3540E17    1.0907E-10   6.8997E-12    56486.844502315    56487.091099537
5.1940E18     1.3540E17    1.0872E-10   7.5090E-12    56486.844502315    56487.091099537
5.4650E18     1.3540E17    9.8431E-11   7.8388E-12    56486.844502315    56487.091099537
5.7360E18     1.3540E17    9.7456E-11   8.5293E-12    56486.844502315    56487.091099537
6.0110E18     1.4020E17    8.5380E-11   8.6536E-12    56486.844502315    56487.091099537
6.2890E18     1.3780E17    9.9168E-11   1.0167E-11    56486.844502315    56487.091099537
6.5750E18     1.4750E17    9.0432E-11   1.0741E-11    56486.844502315    56487.091099537
6.8740E18     1.5230E17    9.8592E-11   1.2004E-11    56486.844502315    56487.091099537
7.1910E18     1.6440E17    8.9952E-11   1.1669E-11    56486.844502315    56487.091099537
7.5080E18     1.5230E17    9.7466E-11   1.3746E-11    56486.844502315    56487.091099537
7.8390E18     1.7890E17    8.9245E-11   1.3287E-11    56486.844502315    56487.091099537
8.2280E18     2.1040E17    8.9349E-11   1.3012E-11    56486.844502315    56487.091099537
8.6640E18     2.2490E17    8.3797E-11   1.3592E-11    56486.844502315    56487.091099537
9.0990E18     2.1040E17    9.9097E-11   1.5997E-11    56486.844502315    56487.091099537
9.5340E18     2.2490E17    1.0633E-10   1.7466E-11    56486.844502315    56487.091099537
1.0050E19     2.8770E17    8.5559E-11   1.5354E-11    56486.844502315    56487.091099537
1.0790E19     4.5700E17    5.7422E-11   1.1935E-11    56486.844502315    56487.091099537
1.1770E19     5.1990E17    5.8360E-11   1.3376E-11    56486.844502315    56487.091099537
1.2980E19     6.9150E17    6.7389E-11   1.5123E-11    56486.844502315    56487.091099537
1.4600E19     9.2370E17    6.6785E-11   1.8337E-11    56486.844502315    56487.091099537
1.6580E19     1.0570E18    7.8846E-11   2.8206E-11    56486.844502315    56487.091099537
8.6080E17     1.3540E17    3.9198E-11   5.6311E-13    57870.934803241    57871.507696759
1.1320E18     1.3540E17    3.7061E-11   5.4712E-13    57870.934803241    57871.507696759
1.4020E18     1.3540E17    3.6197E-11   5.8658E-13    57870.934803241    57871.507696759
1.6730E18     1.3540E17    3.5159E-11   6.4175E-13    57870.934803241    57871.507696759
1.9440E18     1.3540E17    3.5574E-11   7.2288E-13    57870.934803241    57871.507696759
2.2150E18     1.3540E17    3.4358E-11   7.9312E-13    57870.934803241    57871.507696759
2.4860E18     1.3540E17    3.2073E-11   8.9220E-13    57870.934803241    57871.507696759
2.7570E18     1.3540E17    3.1216E-11   1.0356E-12    57870.934803241    57871.507696759
3.0270E18     1.3540E17    2.9775E-11   1.1843E-12    57870.934803241    57871.507696759
3.2980E18     1.3540E17    3.0165E-11   1.3534E-12    57870.934803241    57871.507696759
3.5690E18     1.3540E17    2.8531E-11   1.4783E-12    57870.934803241    57871.507696759
3.8400E18     1.3540E17    2.9865E-11   1.6868E-12    57870.934803241    57871.507696759
4.1110E18     1.3540E17    2.8991E-11   1.8454E-12    57870.934803241    57871.507696759
4.3810E18     1.3540E17    3.1801E-11   2.1249E-12    57870.934803241    57871.507696759
4.6550E18     1.3780E17    2.9912E-11   2.2445E-12    57870.934803241    57871.507696759
4.9300E18     1.3780E17    2.7125E-11   2.3475E-12    57870.934803241    57871.507696759
5.2060E18     1.3780E17    2.6466E-11   2.5523E-12    57870.934803241    57871.507696759
5.4840E18     1.4020E17    2.7534E-11   2.8448E-12    57870.934803241    57871.507696759
5.7670E18     1.4270E17    2.5929E-11   3.0637E-12    57870.934803241    57871.507696759
6.0590E18     1.4990E17    2.6211E-11   3.3784E-12    57870.934803241    57871.507696759
6.3670E18     1.5720E17    2.3664E-11   3.4096E-12    57870.934803241    57871.507696759
6.7150E18     1.9100E17    2.0076E-11   3.4659E-12    57870.934803241    57871.507696759
7.0750E18     1.6930E17    2.5968E-11   4.4105E-12    57870.934803241    57871.507696759
7.4470E18     2.0310E17    2.2546E-11   4.3852E-12    57870.934803241    57871.507696759
7.9310E18     2.8050E17    1.9144E-11   3.7339E-12    57870.934803241    57871.507696759
8.4610E18     2.4910E17    2.2118E-11   4.7318E-12    57870.934803241    57871.507696759
8.9640E18     2.5390E17    2.8779E-11   5.6858E-12    57870.934803241    57871.507696759
9.6260E18     4.0860E17    1.6096E-11   4.3199E-12    57870.934803241    57871.507696759
1.0450E19     4.1350E17    2.0345E-11   5.3652E-12    57870.934803241    57871.507696759
1.1500E19     6.3350E17    1.5191E-11   5.1904E-12    57870.934803241    57871.507696759
1.2730E19     6.0210E17    2.0835E-11   7.2586E-12    57870.934803241    57871.507696759
1.4150E19     8.1970E17    1.9135E-11   8.5200E-12    57870.934803241    57871.507696759
8.2700E17     1.0160E17    1.8553E-11   4.5028E-13    57897.924398148    57898.490405093
1.0300E18     1.0160E17    1.6318E-11   4.0607E-13    57897.924398148    57898.490405093
1.2330E18     1.0160E17    1.4388E-11   4.0171E-13    57897.924398148    57898.490405093
