# RA = 22 02 43.20 (330.68)
# Dec = +42 16 40.00 (42.277778)
# Redshift = 0.0
# nH = 1.75E21 cm^-2 
# NuBlazar (id = 127)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
6.5430E18     1.2090E17    1.8691E-11   4.5021E-12    59442.087604167    59442.636203704
6.8260E18     1.6200E17    1.8062E-11   4.2995E-12    59442.087604167    59442.636203704
7.1310E18     1.4270E17    2.2427E-11   5.2926E-12    59442.087604167    59442.636203704
7.4160E18     1.4270E17    3.1259E-11   6.6324E-12    59442.087604167    59442.636203704
7.7590E18     2.0070E17    1.8536E-11   4.7638E-12    59442.087604167    59442.636203704
8.1700E18     2.1040E17    1.9539E-11   5.3180E-12    59442.087604167    59442.636203704
8.6900E18     3.0950E17    1.6462E-11   4.5647E-12    59442.087604167    59442.636203704
9.2560E18     2.5630E17    2.4379E-11   6.6253E-12    59442.087604167    59442.636203704
9.7860E18     2.7320E17    2.3876E-11   6.9560E-12    59442.087604167    59442.636203704
1.0390E19     3.2640E17    1.9247E-11   6.9120E-12    59442.087604167    59442.636203704
# BeppoSAX Spectra (Giommi et al. 2002) (id = 126)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.6860E17     2.4310E16    6.4871E-12   2.0616E-12    51517.46286    51518.73829
2.2540E17     3.2500E16    5.4135E-12   9.2132E-13    51517.46286    51518.73829
3.0140E17     4.3450E16    4.2446E-12   6.2055E-13    51517.46286    51518.73829
4.0290E17     5.8080E16    5.8029E-12   5.2830E-13    51517.46286    51518.73829
5.3860E17     7.7650E16    5.8114E-12   3.4982E-13    51517.46286    51518.73829
7.2010E17     1.0380E17    6.4369E-12   4.0626E-13    51517.46286    51518.73829
9.6270E17     1.3880E17    7.1453E-12   4.6311E-13    51517.46286    51518.73829
1.2870E18     1.8550E17    8.7368E-12   6.4164E-13    51517.46286    51518.73829
1.7210E18     2.4800E17    9.7286E-12   9.4245E-13    51517.46286    51518.73829
2.3000E18     3.3160E17    9.5288E-12   1.5875E-12    51517.46286    51518.73829
3.0750E18     4.4330E17    1.4112E-11   1.0868E-11    51517.46286    51518.73829
4.1110E18     5.9270E17    1.0518E-11   7.4254E-12    51517.46286    51518.73829
5.4960E18     7.9240E17    1.4471E-11   8.2968E-12    51517.46286    51518.73829
7.3480E18     1.0590E18    2.2709E-11   1.2258E-11    51517.46286    51518.73829
9.8240E18     1.4160E18    1.8949E-11   1.6483E-11    51517.46286    51518.73829
1.6860E17     2.4310E16    7.2453E-12   1.9801E-12    51751.42545    51752.28024
2.2540E17     3.2500E16    4.1317E-12   5.7113E-13    51751.42545    51752.28024
3.0140E17     4.3450E16    2.8654E-12   4.1676E-13    51751.42545    51752.28024
4.0290E17     5.8080E16    3.0642E-12   3.7269E-13    51751.42545    51752.28024
5.3860E17     7.7650E16    3.3077E-12   4.0772E-13    51751.42545    51752.28024
7.2010E17     1.0380E17    3.6745E-12   4.7494E-13    51751.42545    51752.28024
9.6270E17     1.3880E17    3.6784E-12   5.1559E-13    51751.42545    51752.28024
1.2870E18     1.8550E17    3.5776E-12   6.4374E-13    51751.42545    51752.28024
1.7210E18     2.4800E17    4.1215E-12   9.7369E-13    51751.42545    51752.28024
2.3000E18     3.3160E17    4.7018E-12   1.8162E-12    51751.42545    51752.28024
1.6860E17     2.4310E16    1.0699E-10   1.0168E-11    51848.86591    51850.42889
2.2540E17     3.2500E16    5.0484E-11   2.8037E-12    51848.86591    51850.42889
3.0140E17     4.3450E16    2.9929E-11   1.4431E-12    51848.86591    51850.42889
4.0290E17     5.8080E16    2.3773E-11   1.4708E-12    51848.86591    51850.42889
5.3860E17     7.7650E16    2.0229E-11   1.1307E-12    51848.86591    51850.42889
7.2010E17     1.0380E17    1.5481E-11   1.0235E-12    51848.86591    51850.42889
9.6270E17     1.3880E17    1.2845E-11   1.0999E-12    51848.86591    51850.42889
1.2870E18     1.8550E17    1.1399E-11   1.3154E-12    51848.86591    51850.42889
1.7210E18     2.4800E17    1.0035E-11   1.7029E-12    51848.86591    51850.42889
2.3000E18     3.3160E17    7.7249E-12   2.5424E-12    51848.86591    51850.42889
3.0750E18     4.4330E17    -7.5623E-12   6.0076E-12    51848.86591    51850.42889
4.1110E18     5.9270E17    3.3840E-12   3.9266E-12    51848.86591    51850.42889
